Level	Date and Time	Source	Event ID	Task Category
Information	10.10.2017 08:06:56	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:06:55.772
ProcessGuid: {E4CEE641-C50E-597E-0000-0010DCA70400}
ProcessId: 5716
Image: C:\Program Files\WindowsApps\Microsoft.SkypeApp_11.19.820.0_x64__kzf8qxf38zg5c\SkypeHost.exe
User: DESKTOP-63KR1PU\John
Protocol: udp
Initiated: true
SourceIsIpv6: true
SourceIp: 7f00:1:0:0:98a0:fd43:8a7:ffff
SourceHostname: 
SourcePort: 49989
SourcePortName: 
DestinationIsIpv6: true
DestinationIp: efff:fffa:0:0:0:0:0:0
DestinationHostname: 
DestinationPort: 1900
DestinationPortName: ssdp"
Information	10.10.2017 08:06:56	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:06:55.764
ProcessGuid: {E4CEE641-C50E-597E-0000-0010DCA70400}
ProcessId: 5716
Image: C:\Program Files\WindowsApps\Microsoft.SkypeApp_11.19.820.0_x64__kzf8qxf38zg5c\SkypeHost.exe
User: DESKTOP-63KR1PU\John
Protocol: udp
Initiated: true
SourceIsIpv6: true
SourceIp: a00:20f:0:0:b8a1:fd43:8a7:ffff
SourceHostname: 
SourcePort: 49989
SourcePortName: 
DestinationIsIpv6: true
DestinationIp: efff:fffa:0:0:0:0:0:0
DestinationHostname: 
DestinationPort: 1900
DestinationPortName: ssdp"
Information	10.10.2017 08:06:56	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
UtcTime: 2017-10-10 06:06:56.335
ProcessGuid: {E4CEE641-C8D8-597E-0000-0010CEFD1900}
ProcessId: 5612
Image: C:\Program Files\Microsoft Office\root\Office16\ONENOTEM.EXE"
Information	10.10.2017 08:06:55	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:06:54.989
ProcessGuid: {E4CEE641-C50E-597E-0000-0010DCA70400}
ProcessId: 5716
Image: C:\Program Files\WindowsApps\Microsoft.SkypeApp_11.19.820.0_x64__kzf8qxf38zg5c\SkypeHost.exe
User: DESKTOP-63KR1PU\John
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 10.34.1.27
SourceHostname: DESKTOP-63KR1PU
SourcePort: 64372
SourcePortName: 
DestinationIsIpv6: false
DestinationIp: 65.55.223.44
DestinationHostname: 
DestinationPort: 40009
DestinationPortName: "
Information	10.10.2017 08:06:55	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:06:54.595
ProcessGuid: {E4CEE641-C50E-597E-0000-0010DCA70400}
ProcessId: 5716
Image: C:\Program Files\WindowsApps\Microsoft.SkypeApp_11.19.820.0_x64__kzf8qxf38zg5c\SkypeHost.exe
User: DESKTOP-63KR1PU\John
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 10.34.1.27
SourceHostname: DESKTOP-63KR1PU
SourcePort: 38513
SourcePortName: 
DestinationIsIpv6: false
DestinationIp: 65.55.223.44
DestinationHostname: 
DestinationPort: 33033
DestinationPortName: "
Information	10.10.2017 08:06:52	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:06:51.604
ProcessGuid: {E4CEE641-C82B-597E-0000-00106A881600}
ProcessId: 6080
Image: C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
User: DESKTOP-63KR1PU\John
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 10.34.1.27
SourceHostname: DESKTOP-63KR1PU
SourcePort: 64371
SourcePortName: 
DestinationIsIpv6: false
DestinationIp: 216.58.209.74
DestinationHostname: waw02s06-in-f10.1e100.net
DestinationPort: 443
DestinationPortName: https"
Information	10.10.2017 08:06:52	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:06:51.601
ProcessGuid: {E4CEE641-C4E3-597E-0000-00102DD10000}
ProcessId: 1364
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: udp
Initiated: true
SourceIsIpv6: true
SourceIp: a00:20f:0:0:b8a1:fd43:8a7:ffff
SourceHostname: 
SourcePort: 59954
SourcePortName: 
DestinationIsIpv6: true
DestinationIp: e000:fc:0:0:0:0:0:0
DestinationHostname: 
DestinationPort: 5355
DestinationPortName: llmnr"
Information	10.10.2017 08:06:52	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:06:51.601
ProcessGuid: {E4CEE641-C4E3-597E-0000-00102DD10000}
ProcessId: 1364
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: udp
Initiated: true
SourceIsIpv6: true
SourceIp: fe80:0:0:0:484f:66ca:5caf:76ff
SourceHostname: DESKTOP-63KR1PU
SourcePort: 59954
SourcePortName: 
DestinationIsIpv6: true
DestinationIp: ff02:0:0:0:0:0:1:3
DestinationHostname: 
DestinationPort: 5355
DestinationPortName: llmnr"
Information	10.10.2017 08:06:52	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:06:51.601
ProcessGuid: {E4CEE641-C4D6-597E-0000-0010EB030000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: false
SourceIsIpv6: false
SourceIp: 10.0.2.255
SourceHostname: 
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 10.0.2.15
DestinationHostname: DESKTOP-63KR1PU
DestinationPort: 137
DestinationPortName: netbios-ns"
Information	10.10.2017 08:06:52	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:06:51.601
ProcessGuid: {E4CEE641-C4D6-597E-0000-0010EB030000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 10.34.1.27
SourceHostname: DESKTOP-63KR1PU
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 10.0.2.255
DestinationHostname: 
DestinationPort: 137
DestinationPortName: netbios-ns"
Information	10.10.2017 08:06:52	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
UtcTime: 2017-10-10 06:06:52.210
ProcessGuid: {E4CEE641-C8CF-597E-0000-00105B911900}
ProcessId: 5728
Image: C:\Windows\System32\sppsvc.exe"
Information	10.10.2017 08:06:51	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:06:50.589
ProcessGuid: {E4CEE641-C50E-597E-0000-0010DCA70400}
ProcessId: 5716
Image: C:\Program Files\WindowsApps\Microsoft.SkypeApp_11.19.820.0_x64__kzf8qxf38zg5c\SkypeHost.exe
User: DESKTOP-63KR1PU\John
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 10.34.1.27
SourceHostname: DESKTOP-63KR1PU
SourcePort: 64370
SourcePortName: 
DestinationIsIpv6: false
DestinationIp: 93.184.220.20
DestinationHostname: 
DestinationPort: 80
DestinationPortName: http"
Information	10.10.2017 08:06:51	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:06:50.396
ProcessGuid: {E4CEE641-C50E-597E-0000-0010DCA70400}
ProcessId: 5716
Image: C:\Program Files\WindowsApps\Microsoft.SkypeApp_11.19.820.0_x64__kzf8qxf38zg5c\SkypeHost.exe
User: DESKTOP-63KR1PU\John
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 10.34.1.27
SourceHostname: DESKTOP-63KR1PU
SourcePort: 64369
SourcePortName: 
DestinationIsIpv6: false
DestinationIp: 13.107.3.128
DestinationHostname: 
DestinationPort: 443
DestinationPortName: https"
Information	10.10.2017 08:06:50	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
UtcTime: 2017-10-10 06:06:50.944
ProcessGuid: {E4CEE641-C8F5-597E-0000-0010D2DB1A00}
ProcessId: 3868
Image: C:\Windows\System32\dllhost.exe"
Information	10.10.2017 08:06:49	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
UtcTime: 2017-10-10 06:06:49.929
ProcessGuid: {E4CEE641-C87E-597E-0000-0010F8B41800}
ProcessId: 5444
Image: C:\Windows\servicing\TrustedInstaller.exe"
Information	10.10.2017 08:06:49	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	"Process Create:
UtcTime: 2017-10-10 06:06:49.931
ProcessGuid: {E4CEE641-C8F9-597E-0000-0010D3051B00}
ProcessId: 2360
Image: C:\Windows\System32\svchost.exe
CommandLine: c:\windows\system32\svchost.exe -k localservice -s PhoneSvc
CurrentDirectory: C:\WINDOWS\system32\
User: NT AUTHORITY\LOCAL SERVICE
LogonGuid: {E4CEE641-C4E2-597E-0000-0020E5030000}
LogonId: 0x3E5
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=3120B24060924F9B94182A1432B2D7F9,SHA256=9F21E51442209BCEC0EA4A468EF8A4741685AE204D5063F4C3E45E1F8CF72643
ParentProcessGuid: {E4CEE641-C4E1-597E-0000-0010333E0000}
ParentProcessId: 572
ParentImage: C:\Windows\System32\services.exe
ParentCommandLine: C:\WINDOWS\system32\services.exe"
Information	10.10.2017 08:06:45	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	"Process Create:
UtcTime: 2017-10-10 06:06:45.822
ProcessGuid: {E4CEE641-C8F5-597E-0000-0010D2DB1A00}
ProcessId: 3868
Image: C:\Windows\System32\dllhost.exe
CommandLine: C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}
CurrentDirectory: C:\WINDOWS\system32\
User: DESKTOP-63KR1PU\John
LogonGuid: {E4CEE641-C4E8-597E-0000-002051990100}
LogonId: 0x19951
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=2D29C0AFCC8225AFF6637F7362C22960,SHA256=79756AB8344C31A55223A51625F2379525428CEBD53531F11C26544A34621D81
ParentProcessGuid: {E4CEE641-C4E2-597E-0000-001053520000}
ParentProcessId: 700
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\WINDOWS\system32\svchost.exe -k DcomLaunch"
Information	10.10.2017 08:06:45	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	"Process Create:
UtcTime: 2017-10-10 06:06:45.422
ProcessGuid: {E4CEE641-C8F5-597E-0000-0010DCD31A00}
ProcessId: 5856
Image: C:\Program Files\WindowsApps\Microsoft.SkypeApp_11.19.820.0_x64__kzf8qxf38zg5c\SkypeApp.exe
CommandLine: ""C:\Program Files\WindowsApps\Microsoft.SkypeApp_11.19.820.0_x64__kzf8qxf38zg5c\SkypeApp.exe"" -ServerName:App.AppXffn3yxqvgawq9fpmnhy90fr3y01d1t5b.mca
CurrentDirectory: C:\Program Files\WindowsApps\Microsoft.SkypeApp_11.19.820.0_x64__kzf8qxf38zg5c\
User: DESKTOP-63KR1PU\John
LogonGuid: {E4CEE641-C4E8-597E-0000-002051990100}
LogonId: 0x19951
TerminalSessionId: 1
IntegrityLevel: AppContainer
Hashes: MD5=9A57A0A437293F490B27DEA0AA654E2E,SHA256=06219B5FA4A61E1CF0EC682E25CC358F012AEBCF38E10DE99E49CE93710578EC
ParentProcessGuid: {E4CEE641-C4E2-597E-0000-001053520000}
ParentProcessId: 700
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\WINDOWS\system32\svchost.exe -k DcomLaunch"
Information	10.10.2017 08:06:35	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
UtcTime: 2017-10-10 06:06:35.357
ProcessGuid: {E4CEE641-C8C7-597E-0000-0010F73F1900}
ProcessId: 5724
Image: C:\Windows\System32\svchost.exe"
Information	10.10.2017 08:06:24	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
UtcTime: 2017-10-10 06:06:24.570
ProcessGuid: {E4CEE641-C8CC-597E-0000-0010315E1900}
ProcessId: 1036
Image: C:\Program Files\Microsoft Office\root\Office16\ONENOTE.EXE"
Information	10.10.2017 08:06:24	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	"Process Create:
UtcTime: 2017-10-10 06:06:24.331
ProcessGuid: {E4CEE641-C8E0-597E-0000-001068A51A00}
ProcessId: 3944
Image: C:\Windows\System32\wbem\WmiPrvSE.exe
CommandLine: C:\WINDOWS\system32\wbem\wmiprvse.exe -secured -Embedding
CurrentDirectory: C:\WINDOWS\system32\
User: NT AUTHORITY\NETWORK SERVICE
LogonGuid: {E4CEE641-C4E2-597E-0000-0020E4030000}
LogonId: 0x3E4
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=C3B76154E72CFE98742B899D53EE5AB2,SHA256=AC535A3ED8A0138305E1E9D060BB3B94AFE4D05A8B8506224F5DF802C54A9EEB
ParentProcessGuid: {E4CEE641-C4E2-597E-0000-001053520000}
ParentProcessId: 700
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\WINDOWS\system32\svchost.exe -k DcomLaunch"
Information	10.10.2017 08:06:23	Microsoft-Windows-Sysmon	2	File creation time changed (rule: FileCreateTime)	"File creation time changed:
UtcTime: 2017-10-10 06:06:23.820
ProcessGuid: {E4CEE641-C8DC-597E-0000-001044451A00}
ProcessId: 7136
Image: C:\WINDOWS\system32\backgroundTaskHost.exe
TargetFilename: C:\Users\John\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\LocalState\DeviceSearchCache\AppCache131459547809240284.txt.~tmp
CreationUtcTime: 2017-10-10 06:06:23.054
PreviousCreationUtcTime: 2017-10-10 06:06:23.101"
Information	10.10.2017 08:06:20	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	"Process Create:
UtcTime: 2017-10-10 06:06:20.670
ProcessGuid: {E4CEE641-C8DC-597E-0000-001044451A00}
ProcessId: 7136
Image: C:\Windows\System32\backgroundTaskHost.exe
CommandLine: ""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca
CurrentDirectory: C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\
User: DESKTOP-63KR1PU\John
LogonGuid: {E4CEE641-C4E8-597E-0000-002051990100}
LogonId: 0x19951
TerminalSessionId: 1
IntegrityLevel: AppContainer
Hashes: MD5=00BDEAE44F02F23ADA619425E51F8C6E,SHA256=238D1D9A7A9AFE44CAB13E61E9F1896424598B9405402ACAECE0A4244B8F61B1
ParentProcessGuid: {E4CEE641-C4E2-597E-0000-001053520000}
ParentProcessId: 700
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\WINDOWS\system32\svchost.exe -k DcomLaunch"
Information	10.10.2017 08:06:18	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:06:17.765
ProcessGuid: {E4CEE641-C8CC-597E-0000-0010315E1900}
ProcessId: 1036
Image: C:\Program Files\Microsoft Office\root\Office16\ONENOTE.EXE
User: DESKTOP-63KR1PU\John
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 10.34.1.27
SourceHostname: DESKTOP-63KR1PU
SourcePort: 64368
SourcePortName: 
DestinationIsIpv6: false
DestinationIp: 40.113.17.180
DestinationHostname: 
DestinationPort: 443
DestinationPortName: https"
Information	10.10.2017 08:06:17	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	"Process Create:
UtcTime: 2017-10-10 06:06:17.577
ProcessGuid: {E4CEE641-C8D9-597E-0000-00100D161A00}
ProcessId: 7076
Image: C:\Windows\System32\SearchProtocolHost.exe
CommandLine: ""C:\WINDOWS\system32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe_S-1-5-21-314807179-1721486539-1070073246-10014_ Global\UsGthrCtrlFltPipeMssGthrPipe_S-1-5-21-314807179-1721486539-1070073246-10014 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon""  ""1""
CurrentDirectory: C:\WINDOWS\system32\
User: DESKTOP-63KR1PU\John
LogonGuid: {E4CEE641-C4E8-597E-0000-002051990100}
LogonId: 0x19951
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=96CB662846932E98D3B14CBCAFD3FE30,SHA256=782C36C541B2B240042717F26617C90AF65D65A771534CBD1746C601D14FFB95
ParentProcessGuid: {E4CEE641-C4F4-597E-0000-0010067A0200}
ParentProcessId: 3544
ParentImage: C:\Windows\System32\SearchIndexer.exe
ParentCommandLine: C:\WINDOWS\system32\SearchIndexer.exe /Embedding"
Information	10.10.2017 08:06:16	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	"Process Create:
UtcTime: 2017-10-10 06:06:16.599
ProcessGuid: {E4CEE641-C8D8-597E-0000-0010CEFD1900}
ProcessId: 5612
Image: C:\Program Files\Microsoft Office\root\Office16\ONENOTEM.EXE
CommandLine: /tsr
CurrentDirectory: C:\WINDOWS\system32\
User: DESKTOP-63KR1PU\John
LogonGuid: {E4CEE641-C4E8-597E-0000-002051990100}
LogonId: 0x19951
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=D74D92BCCE4C4FEF5B7A42DFEB5F08AA,SHA256=9C1FCFAA53EB1EE2A29A844C479C7238B02CD246AB2C908456166A08A971C861
ParentProcessGuid: {E4CEE641-C8CC-597E-0000-0010315E1900}
ParentProcessId: 1036
ParentImage: C:\Program Files\Microsoft Office\root\Office16\ONENOTE.EXE
ParentCommandLine: ""C:\Program Files\Microsoft Office\root\Office16\ONENOTE.EXE"" "
Information	10.10.2017 08:06:15	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
UtcTime: 2017-10-10 06:06:15.788
ProcessGuid: {E4CEE641-C7BC-597E-0000-00103AE51200}
ProcessId: 7092
Image: C:\Windows\System32\wbem\WmiPrvSE.exe"
Information	10.10.2017 08:06:13	Microsoft-Windows-Sysmon	2	File creation time changed (rule: FileCreateTime)	"File creation time changed:
UtcTime: 2017-10-10 06:06:13.288
ProcessGuid: {E4CEE641-C82B-597E-0000-00106A881600}
ProcessId: 6080
Image: C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
TargetFilename: C:\Users\John\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\P346G8BK2P5V7ITHA7CE.temp
CreationUtcTime: 2017-07-13 09:31:16.620
PreviousCreationUtcTime: 2017-10-10 06:06:13.211"
Information	10.10.2017 08:06:12	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:06:11.962
ProcessGuid: {E4CEE641-C8CC-597E-0000-0010315E1900}
ProcessId: 1036
Image: C:\Program Files\Microsoft Office\root\Office16\ONENOTE.EXE
User: DESKTOP-63KR1PU\John
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 10.34.1.27
SourceHostname: DESKTOP-63KR1PU
SourcePort: 64367
SourcePortName: 
DestinationIsIpv6: false
DestinationIp: 23.37.43.27
DestinationHostname: a23-37-43-27.deploy.static.akamaitechnologies.com
DestinationPort: 80
DestinationPortName: http"
Information	10.10.2017 08:06:12	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:06:11.891
ProcessGuid: {E4CEE641-C8CC-597E-0000-0010315E1900}
ProcessId: 1036
Image: C:\Program Files\Microsoft Office\root\Office16\ONENOTE.EXE
User: DESKTOP-63KR1PU\John
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 10.34.1.27
SourceHostname: DESKTOP-63KR1PU
SourcePort: 64365
SourcePortName: 
DestinationIsIpv6: false
DestinationIp: 104.94.133.208
DestinationHostname: a104-94-133-208.deploy.static.akamaitechnologies.com
DestinationPort: 443
DestinationPortName: https"
Information	10.10.2017 08:06:12	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:06:11.891
ProcessGuid: {E4CEE641-C8CC-597E-0000-0010315E1900}
ProcessId: 1036
Image: C:\Program Files\Microsoft Office\root\Office16\ONENOTE.EXE
User: DESKTOP-63KR1PU\John
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 10.34.1.27
SourceHostname: DESKTOP-63KR1PU
SourcePort: 64366
SourcePortName: 
DestinationIsIpv6: false
DestinationIp: 104.94.133.208
DestinationHostname: a104-94-133-208.deploy.static.akamaitechnologies.com
DestinationPort: 443
DestinationPortName: https"
Information	10.10.2017 08:06:12	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:06:11.390
ProcessGuid: {E4CEE641-C8CC-597E-0000-0010315E1900}
ProcessId: 1036
Image: C:\Program Files\Microsoft Office\root\Office16\ONENOTE.EXE
User: DESKTOP-63KR1PU\John
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 10.34.1.27
SourceHostname: DESKTOP-63KR1PU
SourcePort: 64364
SourcePortName: 
DestinationIsIpv6: false
DestinationIp: 198.41.215.184
DestinationHostname: 
DestinationPort: 80
DestinationPortName: http"
Information	10.10.2017 08:06:12	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
UtcTime: 2017-10-10 06:06:11.173
ProcessGuid: {E4CEE641-C8CC-597E-0000-0010315E1900}
ProcessId: 1036
Image: C:\Program Files\Microsoft Office\root\Office16\ONENOTE.EXE
User: DESKTOP-63KR1PU\John
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 10.34.1.27
SourceHostname: DESKTOP-63KR1PU
SourcePort: 64363
SourcePortName: 
DestinationIsIpv6: false
DestinationIp: 131.253.61.66
DestinationHostname: 
DestinationPort: 443
DestinationPortName: https"
